league,season,match_id,date,home_team,away_team,home_goals,away_goals,home_xG,away_xG,win_prob,draw_prob,away_win_prob
EPL,2023,21944,2023-09-18 18:45:00,Nottingham Forest,Burnley,1,1,0.705795,0.807651,0.2724,0.3669,0.3607
EPL,2023,21945,2023-09-23 14:00:00,Luton,Wolverhampton Wanderers,1,1,2.24101,0.762984,0.7771,0.1815,0.0414
EPL,2023,21946,2023-09-23 14:00:00,Manchester City,Nottingham Forest,2,0,1.33984,0.729109,0.5453,0.2792,0.1755
EPL,2023,21948,2023-09-23 14:00:00,Crystal Palace,Fulham,0,0,0.37236,0.542678,0.1986,0.488,0.3134
EPL,2023,21949,2023-09-23 16:30:00,Brentford,Everton,1,3,1.57402,2.51497,0.1704,0.2246,0.605
EPL,2023,21950,2023-09-23 19:00:00,Burnley,Manchester United,0,1,0.935444,0.840273,0.3571,0.3448,0.2981
EPL,2023,21947,2023-09-24 13:00:00,Chelsea,Aston Villa,0,1,1.19716,1.13479,0.3746,0.2965,0.3289
EPL,2023,21951,2023-09-24 13:00:00,Brighton,Bournemouth,3,1,2.14533,1.58984,0.5233,0.2401,0.2366
EPL,2023,21952,2023-09-24 13:00:00,Arsenal,Tottenham,2,2,2.3429,2.21166,0.417,0.2392,0.3438
EPL,2023,21953,2023-09-24 13:00:00,Liverpool,West Ham,3,1,4.14262,1.53878,0.882,0.0793,0.0387
EPL,2023,21954,2023-09-24 15:30:00,Sheffield United,Newcastle United,0,8,0.579392,5.1082,0.0032,0.0084,0.9884
EPL,2023,21955,2023-09-30 11:30:00,Aston Villa,Brighton,6,1,1.90746,1.72819,0.4133,0.2584,0.3283
EPL,2023,21956,2023-09-30 14:00:00,Everton,Luton,1,2,3.65377,1.5102,0.85,0.1072,0.0428
EPL,2023,21957,2023-09-30 14:00:00,Manchester United,Crystal Palace,0,1,1.55408,1.19015,0.4561,0.2712,0.2727
EPL,2023,21958,2023-09-30 14:00:00,Newcastle United,Burnley,2,0,3.08516,0.801849,0.8934,0.0819,0.0247
EPL,2023,21959,2023-09-30 14:00:00,Bournemouth,Arsenal,0,4,0.644443,4.0742,0.0052,0.0212,0.9736
EPL,2023,21960,2023-09-30 14:00:00,West Ham,Sheffield United,2,0,3.19753,0.911997,0.8683,0.0908,0.0409
EPL,2023,21961,2023-09-30 14:00:00,Wolverhampton Wanderers,Manchester City,2,1,0.673985,0.98075,0.2467,0.3543,0.399
EPL,2023,21962,2023-09-30 16:30:00,Tottenham,Liverpool,2,1,2.18823,1.12299,0.6518,0.2076,0.1406
EPL,2023,21963,2023-10-01 13:00:00,Nottingham Forest,Brentford,1,1,0.800317,1.75862,0.1472,0.2359,0.6169
EPL,2023,21964,2023-10-02 19:00:00,Fulham,Chelsea,0,2,0.889383,1.98461,0.1096,0.2252,0.6652
EPL,2023,22289,2023-10-03 18:30:00,Luton,Burnley,1,2,1.53058,0.920206,0.5256,0.2762,0.1982
EPL,2023,21971,2023-10-07 11:30:00,Luton,Tottenham,0,1,0.848118,2.37947,0.0838,0.1565,0.7597
EPL,2023,21967,2023-10-07 14:00:00,Burnley,Chelsea,1,4,0.956642,1.97566,0.1114,0.2281,0.6605
EPL,2023,21969,2023-10-07 14:00:00,Everton,Bournemouth,3,0,3.16482,0.981732,0.8722,0.0938,0.034
EPL,2023,21970,2023-10-07 14:00:00,Fulham,Sheffield United,3,1,2.26612,0.251809,0.8781,0.1012,0.0207
EPL,2023,21972,2023-10-07 14:00:00,Manchester United,Brentford,2,1,1.29356,1.02509,0.4271,0.2936,0.2793
EPL,2023,21968,2023-10-07 16:30:00,Crystal Palace,Nottingham Forest,0,0,0.982452,1.22105,0.282,0.3104,0.4076
EPL,2023,21966,2023-10-08 13:00:00,Brighton,Liverpool,2,2,2.23187,2.51029,0.316,0.236,0.448
EPL,2023,21973,2023-10-08 13:00:00,West Ham,Newcastle United,2,2,0.931345,1.97865,0.0927,0.2316,0.6757
EPL,2023,21974,2023-10-08 13:00:00,Wolverhampton Wanderers,Aston Villa,1,1,1.76232,1.81618,0.3672,0.2589,0.3739
EPL,2023,21965,2023-10-08 15:30:00,Arsenal,Manchester City,1,0,0.386558,0.858071,0.1372,0.3669,0.4959
EPL,2023,21979,2023-10-21 11:30:00,Liverpool,Everton,2,0,2.28568,0.0937725,0.9342,0.0613,0.0045
EPL,2023,21975,2023-10-21 14:00:00,Bournemouth,Wolverhampton Wanderers,1,2,1.01839,2.30454,0.102,0.2,0.698
EPL,2023,21977,2023-10-21 14:00:00,Brentford,Burnley,3,0,3.15685,0.693129,0.9067,0.0745,0.0188
EPL,2023,21980,2023-10-21 14:00:00,Manchester City,Brighton,2,1,0.962509,0.963733,0.3367,0.3286,0.3347
EPL,2023,21981,2023-10-21 14:00:00,Newcastle United,Crystal Palace,4,0,3.73336,1.08795,0.9023,0.0693,0.0284
EPL,2023,21982,2023-10-21 14:00:00,Nottingham Forest,Luton,2,2,3.27549,1.49555,0.7817,0.1325,0.0858
EPL,2023,21978,2023-10-21 16:30:00,Chelsea,Arsenal,2,2,1.71838,1.05791,0.5596,0.2612,0.1792
EPL,2023,21983,2023-10-21 19:00:00,Sheffield United,Manchester United,1,2,1.41074,1.46187,0.3358,0.3137,0.3505
EPL,2023,21976,2023-10-22 15:30:00,Aston Villa,West Ham,4,1,2.34143,0.659622,0.814,0.1326,0.0534
EPL,2023,21984,2023-10-23 19:00:00,Tottenham,Fulham,2,0,1.63523,0.745838,0.6093,0.2524,0.1383
EPL,2023,21990,2023-10-27 19:00:00,Crystal Palace,Tottenham,1,2,0.561834,0.989103,0.1774,0.342,0.4806
EPL,2023,21989,2023-10-28 11:30:00,Chelsea,Brentford,0,2,1.71801,2.48137,0.2146,0.2109,0.5745
EPL,2023,21985,2023-10-28 14:00:00,Bournemouth,Burnley,2,1,1.10052,0.90255,0.3721,0.3582,0.2697
EPL,2023,21986,2023-10-28 14:00:00,Arsenal,Sheffield United,5,0,3.03496,0.0281554,0.9842,0.0156,0.0002
EPL,2023,21994,2023-10-28 16:30:00,Wolverhampton Wanderers,Newcastle United,2,2,0.863393,2.31987,0.0639,0.1559,0.7802
EPL,2023,21993,2023-10-29 13:00:00,West Ham,Everton,0,1,0.618578,0.733813,0.2689,0.3788,0.3523
EPL,2023,21987,2023-10-29 14:00:00,Aston Villa,Luton,3,1,3.07654,0.453117,0.9407,0.0493,0.01
EPL,2023,21988,2023-10-29 14:00:00,Brighton,Fulham,1,1,1.31996,0.552523,0.5703,0.2799,0.1498
EPL,2023,21991,2023-10-29 14:00:00,Liverpool,Nottingham Forest,3,0,2.70428,0.642014,0.8733,0.0954,0.0313
EPL,2023,21992,2023-10-29 15:30:00,Manchester United,Manchester City,0,3,0.714628,4.54595,0.0029,0.0138,0.9833
EPL,2023,21998,2023-11-04 12:30:00,Fulham,Manchester United,0,1,1.18241,0.697095,0.4803,0.3166,0.2031
EPL,2023,21995,2023-11-04 15:00:00,Brentford,West Ham,3,2,1.82944,1.75505,0.363,0.2981,0.3389
EPL,2023,21996,2023-11-04 15:00:00,Burnley,Crystal Palace,0,2,1.4998,1.43653,0.3571,0.3072,0.3357
EPL,2023,21997,2023-11-04 15:00:00,Everton,Brighton,1,1,0.617607,0.442489,0.3494,0.4439,0.2067
EPL,2023,22000,2023-11-04 15:00:00,Manchester City,Bournemouth,6,1,2.39949,0.643127,0.7963,0.1463,0.0574
EPL,2023,22003,2023-11-04 15:00:00,Sheffield United,Wolverhampton Wanderers,2,1,1.10165,1.14803,0.3009,0.3733,0.3258
EPL,2023,22001,2023-11-04 17:30:00,Newcastle United,Arsenal,1,0,1.12355,0.535473,0.577,0.3043,0.1187
EPL,2023,22002,2023-11-05 14:00:00,Nottingham Forest,Aston Villa,2,0,0.592447,1.33116,0.1456,0.2983,0.5561
EPL,2023,21999,2023-11-05 16:30:00,Luton,Liverpool,1,1,1.3411,3.03925,0.0721,0.1522,0.7757
EPL,2023,22004,2023-11-06 20:00:00,Tottenham,Chelsea,1,4,0.959108,4.05865,0.0094,0.0329,0.9577
EPL,2023,22014,2023-11-11 12:30:00,Wolverhampton Wanderers,Tottenham,2,1,1.90884,0.432315,0.7738,0.1722,0.054
EPL,2023,22006,2023-11-11 15:00:00,Arsenal,Burnley,3,1,2.63194,0.327706,0.9544,0.0415,0.0041
EPL,2023,22010,2023-11-11 15:00:00,Crystal Palace,Everton,2,3,1.89194,1.7904,0.3803,0.2887,0.331
EPL,2023,22012,2023-11-11 15:00:00,Manchester United,Luton,1,0,2.74105,0.408265,0.9169,0.0661,0.017
EPL,2023,22005,2023-11-11 17:30:00,Bournemouth,Newcastle United,2,0,2.78424,0.306141,0.9374,0.0517,0.0109
EPL,2023,22007,2023-11-12 14:00:00,Aston Villa,Fulham,3,1,2.86039,0.648745,0.9227,0.0642,0.0131
